VALE3
PETR4
B3SA3
BOVA11
SUZB3
NTCO3
ITUB4
BBDC4
CSNA3
PETR3
JBSS3
RDOR3
MGLU3
GNDI3
VVAR3
LWSA3
BPAC11
TOTS3
BTOW3
WEGE3
PRIO3
WEST3
BBAS3
OIBR3
LREN3
CSAN3
RAIL3
ABEV3
USIM5
EMBR3
GGBR4
AZUL4
HAPV3
BIDI11
LAME4
RENT3
MRFG3
BRDT3
BOVV11
EQTL3
COGN3
KLBN11
SBSP3
TIMS3
GOLL4
ITSA4
YDUQ3
ELET3
MULT3
BRML3
UGPA3
VIVT3
CSED3
CESP6
CCRO3
CRFB3
MOSI3
BRFS3
HYPE3
CVCB3
DTEX3
BRAP4
BMOB3
BIDI4
IRBR3
CIEL3
GOAU4
EZTC3
BBDC3
BBSE3
MRVE3
CMIG4
RADL3
BRKM5
NGRD3
PSSA3
PCAR3
ENEV3
CASH3
SANB11
CYRE3
SLCE3
EGIE3
ELET6
AERI3
NEOE3
OMGE3
LCAM3
INTB3
ENGI11
QUAL3
SULA11
CSMG3
TAEE11
RLOG3
SMTO3
GFSA3
CPFE3
IGTA3
MEAL3
