date,open,close,low,high,volume
2010-10-25,120.5,116.69999694824219,110.50399780273438,122.0,5036000.0
2010-10-26,114.0009994506836,112.5,112.5,117.0,1440000.0
2010-10-27,112.5,113.5,111.01200103759766,116.0,737000.0
2010-10-28,113.55000305175781,112.5,110.5,113.55000305175781,580000.0
2010-10-29,113.0,113.69999694824219,112.0,114.5,165000.0
2010-11-01,114.19999694824219,117.5,114.19999694824219,118.89900207519531,182000.0
2010-11-03,118.80000305175781,119.5,117.01699829101562,121.0,402000.0
2010-11-04,119.5,119.80000305175781,119.00199890136719,120.9990005493164,277000.0
2010-11-05,119.7979965209961,122.0,119.7979965209961,122.19999694824219,1102000.0
2010-11-08,122.0,120.0,120.0,122.0,192000.0
2010-11-09,120.0009994506836,118.0,118.0,123.0,300000.0
2010-11-10,121.0,118.5,116.10199737548828,121.0,93000.0
2010-11-11,116.0,118.0,116.0,119.19999694824219,217000.0
2010-11-12,117.9990005493164,117.0,116.56099700927734,118.4990005493164,69000.0
2010-11-16,115.0,111.20500183105469,111.0,116.0,249000.0
2010-11-17,111.20500183105469,113.0,111.20099639892578,113.6989974975586,205000.0
2010-11-18,114.5,120.0009994506836,114.5,120.4000015258789,260000.0
2010-11-19,117.5,120.0,117.5,120.5,291000.0
2010-11-22,120.20099639892578,120.0999984741211,119.0,120.20099639892578,163000.0
2010-11-23,120.0,121.0,119.5,122.0,208000.0
2010-11-24,123.0,135.0,123.0,135.0,211000.0
2010-11-25,138.0,135.0,133.0,138.0,117000.0
2010-11-26,133.10000610351562,139.0,133.10000610351562,143.5,290000.0
2010-11-29,139.0,138.5,137.10000610351562,141.8000030517578,213000.0
2010-11-30,136.0,135.39999389648438,133.2519989013672,140.0,102000.0
2010-12-01,135.4010009765625,139.99899291992188,135.00100708007812,139.99899291992188,198000.0
2010-12-02,140.0,148.0,139.0,149.72999572753906,316000.0
2010-12-03,149.89999389648438,156.16000366210938,146.50999450683594,158.99899291992188,529000.0
2010-12-06,155.50100708007812,162.4980010986328,155.50100708007812,163.0,1107000.0
2010-12-07,162.5,160.0,160.0,169.8990020751953,297000.0
2010-12-08,162.5,164.0,161.00100708007812,166.7989959716797,402000.0
2010-12-09,165.5,160.0,158.0,165.5,606000.0
2010-12-10,161.5,153.0,152.10000610351562,161.5,418000.0
2010-12-13,153.50100708007812,156.0,153.20399475097656,156.0,220000.0
2010-12-14,155.4980010986328,154.0,153.1999969482422,155.4980010986328,298000.0
2010-12-15,153.0,154.6750030517578,152.02200317382812,155.0,314000.0
2010-12-16,155.00100708007812,155.5,154.60000610351562,155.6999969482422,146000.0
2010-12-17,155.5,165.0,155.5,165.0,243000.0
2010-12-20,165.00100708007812,161.0,161.0,165.00100708007812,164000.0
2010-12-21,160.5,159.9980010986328,158.00100708007812,162.0,62000.0
2010-12-22,160.0,157.5050048828125,157.0,162.0,165000.0
2010-12-23,161.0,159.0,159.0,161.0,16000.0
2010-12-27,158.00100708007812,161.0,158.0,163.0,43000.0
2010-12-28,163.5,161.0,161.0,163.5,8000.0
2010-12-29,162.9499969482422,158.7010040283203,158.7010040283203,163.0,17000.0
